order,class,phylum,gene,n,n_res,f_res
Brocadiales,Brocadiia,Planctomycetota,rpsL,1,1,1
Bryobacterales,Terriglobia,Acidobacteriota,rpsL,1,0,0
Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1150,9,0.00782608695652174
CACTJB01,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
CGMCC-115125,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Caedimonadales,Alphaproteobacteria,Pseudomonadota,rpsL,1,1,1
Caldalkalibacillales,Bacilli,Bacillota,rpsL,2,0,0
Calderihabitantales,KKC1,Bacillota,rpsL,1,0,0
Caldicoprobacterales,Clostridia,Bacillota,rpsL,4,1,0.25
Caldisericales,Caldisericia,Caldisericota,rpsL,1,0,0
Calditrichales,Calditrichia,Calditrichota,rpsL,1,0,0
Campylobacterales,Campylobacteria,Campylobacterota,rpsL,143,8,0.055944055944055944
Carboxydocellales,GCA-003054495,Bacillota,rpsL,1,0,0
Carboxydothermales,Z-2901,Bacillota,rpsL,4,0,0
Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rpsL,15,0,0
Caulobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,139,6,0.04316546762589928
Chitinivibrionales,Chitinivibrionia,Fibrobacterota,rpsL,1,0,0
Chitinophagales,Bacteroidia,Bacteroidota,rpsL,152,0,0
Chlamydiales,Chlamydiia,Chlamydiota,rpsL,31,0,0
Chlorobiales,Chlorobiia,Bacteroidota_A,rpsL,13,0,0
Christensenellales,Clostridia,Bacillota,rpsL,17,4,0.23529411764705882
Chromatiales,Gammaproteobacteria,Pseudomonadota,rpsL,41,0,0
Chrysiogenales,Chrysiogenetes,Chrysiogenota,rpsL,3,0,0
Chthonomonadales,Chthonomonadetes,Armatimonadota,rpsL,1,0,0
Cloacimonadales,Cloacimonadia,Cloacimonadota,rpsL,2,0,0
Clostridiales,Clostridia,Bacillota,rpsL,172,0,0
Competibacterales,Gammaproteobacteria,Pseudomonadota,rpsL,5,0,0
Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,rpsL,1,0,0
Coriobacteriales,Coriobacteriia,Actinomycetota,rpsL,94,55,0.5851063829787234
Coxiellales,Gammaproteobacteria,Pseudomonadota,rpsL,9,0,0
Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rpsL,142,0,0
Cytophagales,Bacteroidia,Bacteroidota,rpsL,146,0,0
DRI-13,Peptococcia,Bacillota,rpsL,1,0,0
DSM-100275,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
DSM-13327,Negativicutes,Bacillota,rpsL,3,0,0
DSM-16000,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
DSM-16054,Spirochaetia,Spirochaetota,rpsL,2,0,0
DSM-16500,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
DSM-1736,Negativicutes,Bacillota,rpsL,1,0,0
DSM-19610,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
DSM-26407,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
DSM-27196,Spirochaetia,Spirochaetota,rpsL,4,0,0
DSM-5130,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
DUOV01,DUOV01,Bacillota,rpsL,1,0,0
DY22613,Halanaerobiia,Bacillota,rpsL,1,0,0
Deferribacterales,Deferribacteres,Chrysiogenota,rpsL,11,1,0.09090909090909091
Deferrisomatales,Deferrisomatia,Desulfobacterota_C,rpsL,1,0,0
Dehalobacteriales,Dehalobacteriia,Bacillota,rpsL,2,0,0
Deinococcales,Deinococci,Deinococcota,rpsL,21,2,0.09523809523809523
Desulfarculales,Desulfarculia,Desulfobacterota,rpsL,3,0,0
Desulfatiglandales,DSM-4660,Desulfobacterota,rpsL,1,0,0
Desulfitibacterales,DSM-16504,Bacillota,rpsL,1,0,0
Desulfobaccales,Desulfobaccia,Desulfobacterota,rpsL,1,0,0
Desulfobacterales,Desulfobacteria,Desulfobacterota,rpsL,36,0,0
Desulfobulbales,Desulfobulbia,Desulfobacterota,rpsL,22,1,0.045454545454545456
Desulfofervidales,Desulfofervidia,Desulfobacterota,rpsL,1,0,0
Desulfomonilales,Desulfomonilia,Desulfobacterota,rpsL,1,0,0
Desulfotomaculales,Desulfotomaculia,Bacillota,rpsL,29,0,0
Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rpsL,95,0,0
Desulfurellales,Desulfurellia,Campylobacterota,rpsL,3,0,0
Desulfurobacteriales,Aquificia,Aquificota,rpsL,8,0,0
Desulfuromonadales,Desulfuromonadia,Desulfobacterota,rpsL,16,0,0
Dethiobacterales,Dethiobacteria,Bacillota,rpsL,1,0,0
Dictyoglomales,Dictyoglomia,Dictyoglomota,rpsL,2,0,0
Dissulfuribacterales,Dissulfuribacteria,Desulfobacterota,rpsL,3,0,0
Dongiales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Ectothiorhodospirales,Gammaproteobacteria,Pseudomonadota,rpsL,17,0,0
Elainellales,Cyanobacteriia,Cyanobacteriota,rpsL,3,0,0
Elsterales,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Elusimicrobiales,Elusimicrobia,Elusimicrobiota,rpsL,1,0,0
Endomicrobiales,Endomicrobiia,Elusimicrobiota,rpsL,1,0,0
Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,1273,6,0.004713275726630008
Enterobacterales_A,Gammaproteobacteria,Pseudomonadota,rpsL,45,0,0
Eubacteriales,Clostridia,Bacillota,rpsL,25,0,0
Eutrophobiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Euzebyales,Nitriliruptoria,Actinomycetota,rpsL,5,1,0.2
FACHB-46,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
FLKF01,Negativicutes,Bacillota,rpsL,1,0,0
Ferrovibrionales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Fibrobacterales,Fibrobacteria,Fibrobacterota,rpsL,3,0,0
Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,925,0,0
Flavobacteriales_B,Bacteroidia,Bacteroidota,rpsL,2,0,0
Francisellales,Gammaproteobacteria,Pseudomonadota,rpsL,27,0,0
Fusobacteriales,Fusobacteriia,Fusobacteriota,rpsL,50,0,0
Futianiales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
GCF-013343005,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Gaiellales,Thermoleophilia,Actinomycetota,rpsL,1,0,0
Geminicoccales,Alphaproteobacteria,Pseudomonadota,rpsL,5,0,0
Gemmatales,Planctomycetia,Planctomycetota,rpsL,11,11,1
Gemmatimonadales,Gemmatimonadetes,Gemmatimonadota,rpsL,3,0,0
Geobacterales,Desulfuromonadia,Desulfobacterota,rpsL,36,0,0
Granulosicoccales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
HP12,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Hakubellales,Humimicrobiia,Actinomycetota,rpsL,1,0,0
Halanaerobiales,Halanaerobiia,Bacillota,rpsL,11,0,0
Haliangiales,Polyangia,Myxococcota,rpsL,1,0,0
Halobacteroidales,Halanaerobiia,Bacillota,rpsL,11,0,0
Halothiobacillales,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Hat2,Chlamydiia,Chlamydiota,rpsL,1,0,0
Heliobacteriales,Desulfitobacteriia,Bacillota,rpsL,5,0,0
Holosporales,Alphaproteobacteria,Pseudomonadota,rpsL,6,5,0.8333333333333334
ICN-92133,Negativicutes,Bacillota,rpsL,1,0,0
Ignavibacteriales,Ignavibacteria,Bacteroidota_A,rpsL,5,0,0
Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Isosphaerales,Planctomycetia,Planctomycetota,rpsL,3,3,1
JAAFJU01,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
JADQBR01,JADQBR01,Bacillota,rpsL,1,0,0
JC444,Spirochaetia,Spirochaetota,rpsL,1,0,0
Jiangellales,Actinomycetes,Actinomycetota,rpsL,18,2,0.1111111111111111
Kiloniellales,Alphaproteobacteria,Pseudomonadota,rpsL,19,0,0
Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,rpsL,5,0,0
Koleobacterales,Thermosediminibacteria,Bacillota,rpsL,1,0,0
Kryptoniales,Kryptoniia,Bacteroidota_A,rpsL,1,0,0
Lactobacillales,Bacilli,Bacillota,rpsL,30,0,0
Legionellales,Gammaproteobacteria,Pseudomonadota,rpsL,66,0,0
Lentisphaerales,Lentisphaeria,Verrucomicrobiota,rpsL,3,3,1
Leptolyngbyales,Cyanobacteriia,Cyanobacteriota,rpsL,10,0,0
Leptospirales,Leptospiria,Spirochaetota,rpsL,74,0,0
Leptospirillales,Leptospirillia,Nitrospirota_A,rpsL,2,0,0
Lutisporales,Clostridia,Bacillota,rpsL,2,0,0
Magnetococcales,Magnetococcia,Pseudomonadota,rpsL,3,0,0
Mahellales,Clostridia,Bacillota,rpsL,1,0,0
Mariprofundales,Zetaproteobacteria,Pseudomonadota,rpsL,6,0,0
Mesoaciditogales,Thermotogae,Thermotogota,rpsL,2,0,0
Methylococcales,Gammaproteobacteria,Pseudomonadota,rpsL,49,0,0
Methylomirabilales,Methylomirabilia,Methylomirabilota,rpsL,1,0,0
Micavibrionales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Micropepsales,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Miltoncostaeales,Thermoleophilia,Actinomycetota,rpsL,2,2,1
Minwuiales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Moorellales,Moorellia,Bacillota,rpsL,7,0,0
Motilibacterales,Actinomycetes,Actinomycetota,rpsL,5,0,0
Mycobacteriales,Actinomycetes,Actinomycetota,rpsL,1229,41,0.03336045565500407
Myxococcales,Myxococcia,Myxococcota,rpsL,52,0,0
Nannocystales,Polyangia,Myxococcota,rpsL,8,0,0
Nanopelagicales,Actinomycetes,Actinomycetota,rpsL,9,0,0
Natranaerobiales,Natranaerobiia,Bacillota,rpsL,3,0,0
Natronospirales,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Nautiliales,Campylobacteria,Campylobacterota,rpsL,4,0,0
Neosynechococcales,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Nevskiales,Gammaproteobacteria,Pseudomonadota,rpsL,29,0,0
Nitriliruptorales,Nitriliruptoria,Actinomycetota,rpsL,3,1,0.3333333333333333
Nitrococcales,Gammaproteobacteria,Pseudomonadota,rpsL,21,0,0
Nitrosococcales,Gammaproteobacteria,Pseudomonadota,rpsL,15,0,0
Nitrospinales,Nitrospinia,Nitrospinota,rpsL,2,0,0
Nitrospirales,Nitrospiria,Nitrospirota,rpsL,1,0,0
Oceanibaculales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Oligoflexales,Oligoflexia,Bdellovibrionota_B,rpsL,2,0,0
Opitutales,Verrucomicrobiia,Verrucomicrobiota,rpsL,15,0,0
PCC-6307,Cyanobacteriia,Cyanobacteriota,rpsL,5,0,0
PCC-9006,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
PS1,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Paenibacillales,Bacilli,Bacillota,rpsL,7,0,0
Paracaedibacterales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Parvibaculales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Pelagibacterales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Peptococcales,Peptococcia,Bacillota,rpsL,3,2,0.6666666666666666
Petrotogales,Thermotogae,Thermotogota,rpsL,15,0,0
Phormidesmidales,Cyanobacteriia,Cyanobacteriota,rpsL,6,0,0
Phycisphaerales,Phycisphaerae,Planctomycetota,rpsL,4,4,1
Pirellulales,Planctomycetia,Planctomycetota,rpsL,26,26,1
Piscirickettsiales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Planctomycetales,Planctomycetia,Planctomycetota,rpsL,30,30,1
Polyangiales,Polyangia,Myxococcota,rpsL,13,0,0
Propionibacteriales,Actinomycetes,Actinomycetota,rpsL,285,11,0.03859649122807018
Propionisporales,Negativicutes,Bacillota,rpsL,2,0,0
Proteinivoracales,Proteinivoracia,Bacillota,rpsL,5,0,0
Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,1131,0,0
Puniceispirillales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Pyrinomonadales,Blastocatellia,Acidobacteriota,rpsL,1,0,0
RS24,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Reyranellales,Alphaproteobacteria,Pseudomonadota,rpsL,5,0,0
Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,934,68,0.0728051391862955
Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,663,1,0.0015082956259426848
Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,46,0,0
Rhodothermales,Rhodothermia,Bacteroidota_A,rpsL,14,0,0
Rickettsiales,Alphaproteobacteria,Pseudomonadota,rpsL,320,293,0.915625
Rubrobacterales,Rubrobacteria,Actinomycetota,rpsL,9,0,0
SBBL01,Nitrospiria,Nitrospirota,rpsL,1,0,0
SG130,Negativicutes,Bacillota,rpsL,1,0,0
SKNC01,Dethiobacteria,Bacillota,rpsL,1,0,0
SP-2023,Spirochaetia,Spirochaetota,rpsL,1,0,0
Sedimentisphaerales,Phycisphaerae,Planctomycetota,rpsL,3,3,1
Selenomonadales,Negativicutes,Bacillota,rpsL,30,0,0
Sneathiellales,Alphaproteobacteria,Pseudomonadota,rpsL,9,0,0
Solirubrobacterales,Thermoleophilia,Actinomycetota,rpsL,1,0,0
Sphaerochaetales,Spirochaetia,Spirochaetota,rpsL,6,1,0.16666666666666666
Sphingobacteriales,Bacteroidia,Bacteroidota,rpsL,15,0,0
Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rpsL,510,472,0.9254901960784314
Spirochaetales_E,Spirochaetia,Spirochaetota,rpsL,1,0,0
Sporichthyales,Actinomycetes,Actinomycetota,rpsL,2,0,0
Sporomusales,Negativicutes,Bacillota,rpsL,15,0,0
Steroidobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,8,0,0
Streptomycetales,Actinomycetes,Actinomycetota,rpsL,860,12,0.013953488372093023
Streptosporangiales,Actinomycetes,Actinomycetota,rpsL,241,4,0.016597510373443983
Symbiobacteriales,Symbiobacteriia,Bacillota,rpsL,2,0,0
Synechococcales,Cyanobacteriia,Cyanobacteriota,rpsL,4,0,0
Synergistales,Synergistia,Synergistota,rpsL,25,0,0
Syntrophales,Syntrophia,Desulfobacterota,rpsL,2,0,0
Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rpsL,8,0,0
Syntrophomonadales,Syntrophomonadia,Bacillota,rpsL,6,0,0
Syntrophorhabdales,Syntrophorhabdia,Desulfobacterota_G,rpsL,1,0,0
Tepidisphaerales,Phycisphaerae,Planctomycetota,rpsL,1,1,1
Terriglobales,Terriglobia,Acidobacteriota,rpsL,27,0,0
Thalassobaculales,Alphaproteobacteria,Pseudomonadota,rpsL,8,0,0
Thermacetogeniales,DSM-12270,Bacillota,rpsL,2,0,0
Thermaerobacterales,Thermaerobacteria,Bacillota,rpsL,2,0,0
Thermincolales,Thermincolia,Bacillota,rpsL,2,0,0
Thermoactinomycetales,Bacilli,Bacillota,rpsL,1,0,0
Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rpsL,19,0,0
Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,rpsL,1,0,0
Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rpsL,12,6,0.5
Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,rpsL,2,0,0
Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,rpsL,10,0,0
Thermosediminibacterales,Thermosediminibacteria,Bacillota,rpsL,7,0,0
Thermostichales,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,rpsL,1,0,0
Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rpsL,5,0,0
Thermotogales,Thermotogae,Thermotogota,rpsL,13,0,0
Thermotomaculales,Holophagae,Acidobacteriota,rpsL,1,0,0
Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thiohalospirales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiomicrospirales,Gammaproteobacteria,Pseudomonadota,rpsL,22,0,0
Thiotrichales,Gammaproteobacteria,Pseudomonadota,rpsL,17,0,0
Tistrellales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Treponematales,Spirochaetia,Spirochaetota,rpsL,31,0,0
Turneriellales,Leptospiria,Spirochaetota,rpsL,1,0,0
UBA5335,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
UBA6429,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
UBA8366,Alphaproteobacteria,Pseudomonadota,rpsL,6,0,0
UBA9655,Alphaproteobacteria,Pseudomonadota,rpsL,1,1,1
UMGS1260,Negativicutes,Bacillota,rpsL,1,0,0
Veillonellales,Negativicutes,Bacillota,rpsL,43,0,0
Velamenicoccales,Koll11,Omnitrophota,rpsL,1,0,0
Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rpsL,22,1,0.045454545454545456
Vicinamibacterales,Vicinamibacteria,Acidobacteriota,rpsL,1,0,0
Woeseiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
XJ16,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,336,1,0.002976190476190476
Zavarziniales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
NA,NA,NA,rpsL,1197,55,0.04594820384294068
